recording_id,time,flex0,flex1,flex2,flex3,flex4,accX,accY,accZ,gyroX,gyroY,gyroZ,label
0,0,862,836,794,865,939,-0.712,0.417,-0.671,-34.931,33.130,8.527,Bye
0,4,863,846,822,870,939,-0.708,0.411,-0.653,-33.695,30.115,8.695,Bye
0,8,863,837,832,865,929,-0.704,0.407,-0.655,-32.702,26.290,9.153,Bye
0,12,861,842,818,865,937,-0.698,0.418,-0.646,-32.160,22.038,10.092,Bye
0,16,827,837,813,865,931,-0.691,0.402,-0.633,-31.267,17.763,10.756,Bye
0,20,861,846,819,871,938,-0.682,0.390,-0.625,-30.153,14.122,10.832,Bye
0,24,863,841,835,866,935,-0.627,0.368,-0.589,-14.115,5.519,16.519,Bye
0,28,863,834,823,872,927,-0.610,0.364,-0.585,-11.679,6.351,18.252,Bye
0,32,861,850,819,870,928,-0.611,0.365,-0.584,-8.695,8.061,19.206,Bye
0,36,869,847,823,873,934,-0.619,0.369,-0.597,-6.351,10.229,19.084,Bye
0,40,857,839,822,873,931,-0.630,0.374,-0.605,-5.527,13.435,18.710,Bye
0,44,862,842,829,869,930,-0.622,0.378,-0.610,-5.206,17.115,18.695,Bye
0,48,863,839,818,868,939,-0.641,0.383,-0.627,-4.977,20.855,17.595,Bye
0,52,865,837,825,867,931,-0.647,0.385,-0.649,-5.275,24.550,15.534,Bye
0,56,859,833,823,870,929,-0.666,0.384,-0.646,-7.076,28.046,12.252,Bye
0,60,863,838,819,870,932,-0.677,0.389,-0.656,-9.733,30.397,7.718,Bye
0,64,863,841,819,873,929,-0.708,0.402,-0.664,-12.962,31.397,1.992,Bye
0,68,867,839,821,870,929,-0.719,0.401,-0.669,-16.924,30.916,-5.573,Bye
0,72,861,845,821,871,941,-0.727,0.402,-0.675,-20.656,28.695,-12.817,Bye
0,76,869,839,821,874,938,-0.747,0.396,-0.679,-23.847,24.656,-19.481,Bye
0,80,871,841,827,875,941,-0.745,0.397,-0.656,-24.740,19.809,-24.809,Bye
0,84,865,839,823,868,934,-0.750,0.398,-0.655,-24.603,14.420,-27.908,Bye
0,88,855,843,821,874,935,-0.737,0.388,-0.643,-22.878,8.183,-29.038,Bye
0,92,864,841,823,867,933,-0.734,0.386,-0.641,-20.076,1.908,-28.450,Bye
0,96,866,843,815,864,929,-0.720,0.387,-0.626,-16.260,-4.031,-26.374,Bye
0,100,863,842,819,870,932,-0.711,0.384,-0.618,-11.763,-9.374,-23.321,Bye
0,104,861,837,827,875,930,-0.704,0.386,-0.628,-7.679,-14.153,-18.985,Bye
0,108,856,839,827,874,935,-0.700,0.387,-0.621,-2.626,-18.290,-14.374,Bye
0,112,865,836,821,871,931,-0.682,0.378,-0.622,3.489,-21.511,-9.985,Bye
0,116,864,839,817,877,922,-0.671,0.376,-0.622,9.634,-23.359,-4.847,Bye
0,120,861,841,819,871,933,-0.663,0.373,-0.615,15.954,-23.939,-0.313,Bye
0,124,865,838,823,867,929,-0.650,0.364,-0.599,23.137,-23.771,2.962,Bye
0,128,867,836,831,870,941,-0.639,0.365,-0.603,30.046,-22.771,5.160,Bye
0,132,859,834,816,870,933,-0.629,0.366,-0.588,35.260,-21.145,6.573,Bye
0,136,863,849,816,867,934,-0.623,0.369,-0.578,39.137,-19.336,6.962,Bye
0,140,866,839,817,870,933,-0.620,0.377,-0.584,41.473,-18.588,5.740,Bye
0,144,860,838,824,872,930,-0.627,0.388,-0.568,41.466,-18.954,3.725,Bye
0,148,855,838,825,870,929,-0.630,0.399,-0.562,40.115,-19.763,1.130,Bye
0,152,863,843,822,873,937,-0.630,0.403,-0.566,38.008,-21.534,-0.786,Bye
