recording_id,time,flex0,flex1,flex2,flex3,flex4,accX,accY,accZ,gyroX,gyroY,gyroZ,label
0,0,862,855,794,876,927,-0.636,0.262,-0.626,22.290,-0.344,22.595,Dog
0,4,863,848,826,874,941,-0.624,0.267,-0.614,23.725,0.504,23.962,Dog
0,8,867,848,826,871,927,-0.629,0.266,-0.617,25.878,1.443,26.069,Dog
0,12,862,846,821,869,932,-0.625,0.270,-0.613,27.321,2.374,29.405,Dog
0,16,864,848,827,849,930,-0.623,0.264,-0.615,28.985,5.901,33.275,Dog
0,20,839,818,829,873,928,-0.619,0.272,-0.628,31.015,9.550,38.130,Dog
0,24,871,848,823,866,933,-0.628,0.272,-0.640,32.328,14.832,42.588,Dog
0,28,864,848,816,873,932,-0.641,0.287,-0.663,29.031,21.046,42.260,Dog
0,32,849,859,825,875,929,-0.734,0.306,-0.722,-1.038,29.504,7.412,Dog
0,36,870,848,821,870,938,-0.748,0.292,-0.720,-5.168,28.382,2.252,Dog
0,40,866,852,802,867,927,-0.760,0.284,-0.733,-9.053,28.115,-7.313,Dog
0,44,865,848,818,875,945,-0.768,0.285,-0.737,-12.458,24.954,-17.481,Dog
0,48,871,855,818,868,938,-0.773,0.283,-0.731,-14.115,21.229,-24.427,Dog
0,52,871,847,821,871,938,-0.783,0.279,-0.735,-14.153,15.939,-28.374,Dog
0,56,857,848,827,874,933,-0.782,0.286,-0.730,-13.069,10.634,-28.916,Dog
0,60,861,843,828,875,928,-0.776,0.274,-0.728,-9.076,3.893,-26.870,Dog
0,64,865,848,817,873,944,-0.772,0.273,-0.717,-3.840,-2.183,-22.092,Dog
0,68,863,848,832,875,930,-0.753,0.274,-0.719,1.382,-6.664,-15.145,Dog
0,72,865,845,822,873,942,-0.745,0.263,-0.717,7.176,-9.924,-8.641,Dog
0,76,867,839,823,873,930,-0.738,0.260,-0.723,14.489,-13.916,-4.023,Dog
0,80,861,843,823,867,934,-0.739,0.248,-0.707,20.672,-17.557,-0.893,Dog
0,84,863,848,832,873,933,-0.730,0.261,-0.705,27.137,-20.954,3.351,Dog
0,88,858,848,832,869,933,-0.720,0.262,-0.707,32.344,-22.229,9.786,Dog
0,92,862,844,818,867,931,-0.710,0.269,-0.719,37.107,-22.229,16.275,Dog
0,96,864,848,821,869,932,-0.706,0.267,-0.730,40.504,-20.504,19.985,Dog
0,100,860,846,821,874,933,-0.706,0.260,-0.729,42.588,-17.832,19.947,Dog
0,104,863,848,819,866,931,-0.711,0.278,-0.738,41.916,-14.214,16.947,Dog
0,108,855,842,824,870,930,-0.723,0.279,-0.727,39.397,-11.679,11.847,Dog
0,112,862,836,828,869,935,-0.725,0.285,-0.724,35.855,-10.870,5.664,Dog
0,116,861,848,826,871,935,-0.736,0.286,-0.711,31.450,-10.710,-1.519,Dog
0,120,868,847,823,876,937,-0.737,0.279,-0.698,26.969,-13.427,-8.450,Dog
